stem,start_frame,end_frame,duration_sec,context,mean_distance
20241115_Box_2_CFC_Day_2_(Context_C)_9016,3315,3327,0.43,C,23.386
20241115_Box_2_CFC_Day_2_(Context_C)_9016,3883,3888,0.2,C,23.198
20241115_Box_2_CFC_Day_2_(Context_C)_9016,3897,3904,0.27,C,24.014
20241115_Box_2_CFC_Day_2_(Context_C)_9016,4220,4226,0.23,C,23.079
20241115_Box_2_CFC_Day_2_(Context_C)_9016,5143,5159,0.57,C,24.223
20241118_Box_1_CFD_Day_3_(Context_A)_9003,5454,5460,0.23,A,25.515
20241118_Box_1_CFD_Day_3_(Context_A)_9005,5403,5409,0.23,A,24.183
20241119_Box_1_CFD_Day_4_(Context_A)_9009,5419,5424,0.2,A,24.569
20241119_Box_1_CFD_Day_4_(Context_A)_9009,5460,5467,0.27,A,23.935
20241119_Box_1_CFD_Day_4_(Context_B)_9001,2921,2928,0.27,B,24.249
20241119_Box_1_CFD_Day_4_(Context_B)_9001,2934,2948,0.5,B,24.428
20241119_Box_1_CFD_Day_4_(Context_B)_9001,2955,2960,0.2,B,23.168
20241119_Box_1_CFD_Day_4_(Context_B)_9001,3010,3020,0.37,B,24.083
20241119_Box_1_CFD_Day_4_(Context_B)_9001,3137,3142,0.2,B,23.18
